Position,Title,Post_Link,Company,Company_Profile,Location,Actively_Status,Description,Seniority_level,Employment_type,Job_function,Industries,time_ago
1,Head Of Product (Founding Team),https://www.linkedin.com/jobs/view/head-of-product-founding-team-at-csv-now-3787779914?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=YAdyaToqI9FSCHqVpwk7mQ%3D%3D&trk=public_jobs_topcard-title,CSV Now,https://www.linkedin.com/company/csvnow?trk=public_jobs_topcard-org-name,"New York, NY",,"Head of Product (Founding Team)

Stealth Startup

I’m seeking a head of product for a new venture I’m launching to enable 50MM+ expert-knowledge workers to more easily engage in fractional work. I’m a serial founder and part of a small team that is incubating new ventures. Prior to our current work, we have built two companies from PPT to acquisition. Prior companies were backed by top venture funds and we have commitments from former investors to back this new business.

The startup I’m launching supports expert-level knowledge workers who want to do some form of fractional work – either on-the-side or full-time. There are 20M expert-level knowledge workers already engaged in this type of work, but a much bigger market of them who want in but struggle to get started. Existing gig economy infrastructure and SaaS products don’t address the unique needs of this market. My prior startups include freelance marketplaces and SaaS for freelancers, and I see an opportunity to build a very different company in this huge market. We’ve built an early product with strong user feedback, and we have a clear point of view on the product we need to build for scale. I’m now building a team to bring this to market.

I’m looking for a world-class product leader to join the founding team who fits this description:


8+ years professional experience; 4+ in product design or product strategy
Experience building SaaS products with product-led growth, ideally having owned design from zero to one
Strong User Experience background with the ability to build end-to-end user experienced with for complex systems
Strong User Interface design background; ability to own full UI design of a responsive web app in Figma
Demonstrated evidence of being able to excel as a product leader; capable of working directly with engineering
Lots of startup experience - you’ve been a part of early stage startups – perhaps on the founding team before – and you love the zero to one startup culture and ambiguity.
Deep focus on the customer - Plenty of evidence of working backwards from customer needs, diving deep into market and customer research to understand what to build and what to adjust.
World-class communicator - You communicate incredibly well both verbally and in writing. You take pride in how you communicate and this is one of your superpowers.


If this sounds like you, please get in touch with me! Share your background and I'll reach out. Thank you for reading!

Powered by JazzHR

zNVonbfazV
Show more",Mid-Senior level,Full-time,Product Management and Marketing,Internet Publishing,3 months ago
2,Head of Product,https://www.linkedin.com/jobs/view/head-of-product-founding-team-at-csv-now-3787779914?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=YAdyaToqI9FSCHqVpwk7mQ%3D%3D&trk=public_jobs_topcard-title,Nexleaf Analytics,https://www.linkedin.com/company/csvnow?trk=public_jobs_topcard-org-name,United States,,"Head of Product (Founding Team)Stealth StartupI’m seeking a head of product for a new venture I’m launching to enable 50MM+ expert-knowledge workers to more easily engage in fractional work. I’m a serial founder and part of a small team that is incubating new ventures. Prior to our current work, we have built two companies from PPT to acquisition. Prior companies were backed by top venture funds and we have commitments from former investors to back this new business.The startup I’m launching supports expert-level knowledge workers who want to do some form of fractional work – either on-the-side or full-time. There are 20M expert-level knowledge workers already engaged in this type of work, but a much bigger market of them who want in but struggle to get started. Existing gig economy infrastructure and SaaS products don’t address the unique needs of this market. My prior startups include freelance marketplaces and SaaS for freelancers, and I see an opportunity to build a very different company in this huge market. We’ve built an early product with strong user feedback, and we have a clear point of view on the product we need to build for scale. I’m now building a team to bring this to market.I’m looking for a world-class product leader to join the founding team who fits this description:8+ years professional experience; 4+ in product design or product strategyExperience building SaaS products with product-led growth, ideally having owned design from zero to oneStrong User Experience background with the ability to build end-to-end user experienced with for complex systemsStrong User Interface design background; ability to own full UI design of a responsive web app in FigmaDemonstrated evidence of being able to excel as a product leader; capable of working directly with engineeringLots of startup experience - you’ve been a part of early stage startups – perhaps on the founding team before – and you love the zero to one startup culture and ambiguity.Deep focus on the customer - Plenty of evidence of working backwards from customer needs, diving deep into market and customer research to understand what to build and what to adjust. World-class communicator - You communicate incredibly well both verbally and in writing. You take pride in how you communicate and this is one of your superpowers. If this sounds like you, please get in touch with me! Share your background and I'll reach out. Thank you for reading!Powered by JazzHRzNVonbfazV
        

        

    
    
    

    

        
            Show more
          

          
    
  

        

    
    
    

    

        
            Show less",Mid-Senior level,Full-time,Product Management and Marketing,Internet Publishing,2 months ago
3,Product Director,https://www.linkedin.com/jobs/view/head-of-product-founding-team-at-csv-now-3787779914?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=YAdyaToqI9FSCHqVpwk7mQ%3D%3D&trk=public_jobs_topcard-title,Indigo Slate,https://www.linkedin.com/company/csvnow?trk=public_jobs_topcard-org-name,"North Carolina, United States",Be an early applicant,"Head of Product (Founding Team)Stealth StartupI’m seeking a head of product for a new venture I’m launching to enable 50MM+ expert-knowledge workers to more easily engage in fractional work. I’m a serial founder and part of a small team that is incubating new ventures. Prior to our current work, we have built two companies from PPT to acquisition. Prior companies were backed by top venture funds and we have commitments from former investors to back this new business.The startup I’m launching supports expert-level knowledge workers who want to do some form of fractional work – either on-the-side or full-time. There are 20M expert-level knowledge workers already engaged in this type of work, but a much bigger market of them who want in but struggle to get started. Existing gig economy infrastructure and SaaS products don’t address the unique needs of this market. My prior startups include freelance marketplaces and SaaS for freelancers, and I see an opportunity to build a very different company in this huge market. We’ve built an early product with strong user feedback, and we have a clear point of view on the product we need to build for scale. I’m now building a team to bring this to market.I’m looking for a world-class product leader to join the founding team who fits this description:8+ years professional experience; 4+ in product design or product strategyExperience building SaaS products with product-led growth, ideally having owned design from zero to oneStrong User Experience background with the ability to build end-to-end user experienced with for complex systemsStrong User Interface design background; ability to own full UI design of a responsive web app in FigmaDemonstrated evidence of being able to excel as a product leader; capable of working directly with engineeringLots of startup experience - you’ve been a part of early stage startups – perhaps on the founding team before – and you love the zero to one startup culture and ambiguity.Deep focus on the customer - Plenty of evidence of working backwards from customer needs, diving deep into market and customer research to understand what to build and what to adjust. World-class communicator - You communicate incredibly well both verbally and in writing. You take pride in how you communicate and this is one of your superpowers. If this sounds like you, please get in touch with me! Share your background and I'll reach out. Thank you for reading!Powered by JazzHRzNVonbfazV
        

        

    
    
    

    

        
            Show more
          

          
    
  

        

    
    
    

    

        
            Show less",Mid-Senior level,Full-time,Product Management and Marketing,Internet Publishing,5 days ago
4,"Senior Vice President, Product Management",https://www.linkedin.com/jobs/view/head-of-product-founding-team-at-csv-now-3787779914?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=YAdyaToqI9FSCHqVpwk7mQ%3D%3D&trk=public_jobs_topcard-title,SiteLock,https://www.linkedin.com/company/csvnow?trk=public_jobs_topcard-org-name,"Scottsdale, AZ",,"Head of Product (Founding Team)Stealth StartupI’m seeking a head of product for a new venture I’m launching to enable 50MM+ expert-knowledge workers to more easily engage in fractional work. I’m a serial founder and part of a small team that is incubating new ventures. Prior to our current work, we have built two companies from PPT to acquisition. Prior companies were backed by top venture funds and we have commitments from former investors to back this new business.The startup I’m launching supports expert-level knowledge workers who want to do some form of fractional work – either on-the-side or full-time. There are 20M expert-level knowledge workers already engaged in this type of work, but a much bigger market of them who want in but struggle to get started. Existing gig economy infrastructure and SaaS products don’t address the unique needs of this market. My prior startups include freelance marketplaces and SaaS for freelancers, and I see an opportunity to build a very different company in this huge market. We’ve built an early product with strong user feedback, and we have a clear point of view on the product we need to build for scale. I’m now building a team to bring this to market.I’m looking for a world-class product leader to join the founding team who fits this description:8+ years professional experience; 4+ in product design or product strategyExperience building SaaS products with product-led growth, ideally having owned design from zero to oneStrong User Experience background with the ability to build end-to-end user experienced with for complex systemsStrong User Interface design background; ability to own full UI design of a responsive web app in FigmaDemonstrated evidence of being able to excel as a product leader; capable of working directly with engineeringLots of startup experience - you’ve been a part of early stage startups – perhaps on the founding team before – and you love the zero to one startup culture and ambiguity.Deep focus on the customer - Plenty of evidence of working backwards from customer needs, diving deep into market and customer research to understand what to build and what to adjust. World-class communicator - You communicate incredibly well both verbally and in writing. You take pride in how you communicate and this is one of your superpowers. If this sounds like you, please get in touch with me! Share your background and I'll reach out. Thank you for reading!Powered by JazzHRzNVonbfazV
        

        

    
    
    

    

        
            Show more
          

          
    
  

        

    
    
    

    

        
            Show less",Mid-Senior level,Full-time,Product Management and Marketing,Internet Publishing,3 weeks ago
5,100% Remote Product Owner,https://www.linkedin.com/jobs/view/head-of-product-founding-team-at-csv-now-3787779914?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=YAdyaToqI9FSCHqVpwk7mQ%3D%3D&trk=public_jobs_topcard-title,Summit Human Capital,https://www.linkedin.com/company/csvnow?trk=public_jobs_topcard-org-name,United States,Actively Hiring,"Head of Product (Founding Team)Stealth StartupI’m seeking a head of product for a new venture I’m launching to enable 50MM+ expert-knowledge workers to more easily engage in fractional work. I’m a serial founder and part of a small team that is incubating new ventures. Prior to our current work, we have built two companies from PPT to acquisition. Prior companies were backed by top venture funds and we have commitments from former investors to back this new business.The startup I’m launching supports expert-level knowledge workers who want to do some form of fractional work – either on-the-side or full-time. There are 20M expert-level knowledge workers already engaged in this type of work, but a much bigger market of them who want in but struggle to get started. Existing gig economy infrastructure and SaaS products don’t address the unique needs of this market. My prior startups include freelance marketplaces and SaaS for freelancers, and I see an opportunity to build a very different company in this huge market. We’ve built an early product with strong user feedback, and we have a clear point of view on the product we need to build for scale. I’m now building a team to bring this to market.I’m looking for a world-class product leader to join the founding team who fits this description:8+ years professional experience; 4+ in product design or product strategyExperience building SaaS products with product-led growth, ideally having owned design from zero to oneStrong User Experience background with the ability to build end-to-end user experienced with for complex systemsStrong User Interface design background; ability to own full UI design of a responsive web app in FigmaDemonstrated evidence of being able to excel as a product leader; capable of working directly with engineeringLots of startup experience - you’ve been a part of early stage startups – perhaps on the founding team before – and you love the zero to one startup culture and ambiguity.Deep focus on the customer - Plenty of evidence of working backwards from customer needs, diving deep into market and customer research to understand what to build and what to adjust. World-class communicator - You communicate incredibly well both verbally and in writing. You take pride in how you communicate and this is one of your superpowers. If this sounds like you, please get in touch with me! Share your background and I'll reach out. Thank you for reading!Powered by JazzHRzNVonbfazV
        

        

    
    
    

    

        
            Show more
          

          
    
  

        

    
    
    

    

        
            Show less",Mid-Senior level,Full-time,Product Management and Marketing,Internet Publishing,3 weeks ago
6,VP of Product Management,https://www.linkedin.com/jobs/view/head-of-product-founding-team-at-csv-now-3787779914?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=YAdyaToqI9FSCHqVpwk7mQ%3D%3D&trk=public_jobs_topcard-title,WorkWave,https://www.linkedin.com/company/csvnow?trk=public_jobs_topcard-org-name,United States,,"Head of Product (Founding Team)Stealth StartupI’m seeking a head of product for a new venture I’m launching to enable 50MM+ expert-knowledge workers to more easily engage in fractional work. I’m a serial founder and part of a small team that is incubating new ventures. Prior to our current work, we have built two companies from PPT to acquisition. Prior companies were backed by top venture funds and we have commitments from former investors to back this new business.The startup I’m launching supports expert-level knowledge workers who want to do some form of fractional work – either on-the-side or full-time. There are 20M expert-level knowledge workers already engaged in this type of work, but a much bigger market of them who want in but struggle to get started. Existing gig economy infrastructure and SaaS products don’t address the unique needs of this market. My prior startups include freelance marketplaces and SaaS for freelancers, and I see an opportunity to build a very different company in this huge market. We’ve built an early product with strong user feedback, and we have a clear point of view on the product we need to build for scale. I’m now building a team to bring this to market.I’m looking for a world-class product leader to join the founding team who fits this description:8+ years professional experience; 4+ in product design or product strategyExperience building SaaS products with product-led growth, ideally having owned design from zero to oneStrong User Experience background with the ability to build end-to-end user experienced with for complex systemsStrong User Interface design background; ability to own full UI design of a responsive web app in FigmaDemonstrated evidence of being able to excel as a product leader; capable of working directly with engineeringLots of startup experience - you’ve been a part of early stage startups – perhaps on the founding team before – and you love the zero to one startup culture and ambiguity.Deep focus on the customer - Plenty of evidence of working backwards from customer needs, diving deep into market and customer research to understand what to build and what to adjust. World-class communicator - You communicate incredibly well both verbally and in writing. You take pride in how you communicate and this is one of your superpowers. If this sounds like you, please get in touch with me! Share your background and I'll reach out. Thank you for reading!Powered by JazzHRzNVonbfazV
        

        

    
    
    

    

        
            Show more
          

          
    
  

        

    
    
    

    

        
            Show less",Mid-Senior level,Full-time,Product Management and Marketing,Internet Publishing,3 weeks ago
7,Product Owner,https://www.linkedin.com/jobs/view/product-owner-at-accroid-inc-3766665414?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=HcDk1LPbnm9saD55gRW8Aw%3D%3D&trk=public_jobs_topcard-title,Accroid Inc,https://www.linkedin.com/company/accroid-inc?trk=public_jobs_topcard-org-name,United States,Actively Hiring,"Product Capability Owner

12+ Months


Develop business context diagrams (e.g., business data flows, process flows) to analyze/confirm the definition of project requirements
Identify the business impact of system/application changes, using appropriate tools as needed (e.g., impact analysis, FMEA, risk analysis)
Ensure adherence to enterprise standards for gathering and documenting project requirements
Participate in reviews of conceptual designs and provide appropriate guidance/consulting to help ensure that they satisfy all documented requirements
Partner with applicable stakeholders to identify the operational impact of changes within defined solutions (e.g., changes to policies/processes/procedures, compliance with applicable legal/regulatory requirements, additional requirements)
Seek opportunities to improve operating efficiencies/effectiveness
Interprets vision and translates into features/users for engineering teams; Validates requirements
Uses creative thinking to solve problems; Challenges current thinking
Show more",Mid-Senior level,Contract,Product Management and Marketing,IT Services and IT Consulting,3 months ago
8,VP of Product Management,https://www.linkedin.com/jobs/view/vp-of-product-management-at-stellar-cyber-3822943148?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=nr%2BkEi83QVG9djjm9TlqAQ%3D%3D&trk=public_jobs_topcard-title,Stellar Cyber,https://www.linkedin.com/company/stellarcyber?trk=public_jobs_topcard-org-name,United States,,"Stellar Cyber is a fast-growing Cybersecurity company focused on delivering holistic cyberattack protection to organizations while significantly reducing total costs of ownership with its innovative Open XDR (eXtended Detection and Response) platform based on advanced ML and security technologies. Stellar Cyber has been recognized by Gartner as one of the leading XDR players.

To accelerate our growth, we are seeking a talented VP of Product Management with startup passion, a can-do attitude, and a desire to make an impact, while building a future for themselves and Stellar Cyber. If you are excited to be part of a very fast-growing team with lots of opportunities, Stellar Cyber is a great place to grow your career. are seeking a dynamic and entrepreneurial Vice President of Product Management to lead our product strategy and product execution, as well as drive innovation in our fast-paced environment. As a foundational member of the executive leadership team, you will have a pivotal role in owning our product roadmap and ensuring we deliver cutting-edge solutions to our customers. This role reports directly to the CEO and will work with them directly on product and positioning strategy. This role will interface across all facets of the business as well as with customers and users. It is critical that the candidate have experience in Security and can drive a product vision of a prescriptive, easy to use platform for both Managed Security Service Providers and Enterprises alike.

Responsibilities


Strategic Product Vision:
Own, develop, and articulate a compelling product vision that aligns with the startup's mission and adapts to the evolving needs of the cybersecurity market
Stay at the forefront of industry trends, emerging technologies, and competitive developments to position our products as leaders in the market
Agile Product Development:
Drive an agile product development process directly with VP of Engineering, iterating quickly and efficiently to deliver innovative solutions to market
Foster a culture of experimentation and rapid prototyping to accelerate the product development cycle
Customer and User Feedback:
Work directly with customers and users to get feedback, iterate on ideas, and build trust
Build a culture where engineers, designers, and product managers are constantly getting in front of customers to learn, get feedback, and validate designs
Cross-functional Collaboration:
Work closely with cross-functional teams including engineering, design, sales, and marketing to ensure alignment and seamless execution of product strategies
Act as a bridge between product management and other functions, facilitating effective communication and collaboration
Market Disruption and Innovation:
Identify and capitalize on opportunities for disruptive innovation within the cybersecurity landscape
Champion a customer-centric approach, utilizing customer feedback and market insights to inform product decisions
Team Leadership and Development:
Build and lead a high-performing product management team, instilling a culture of innovation, accountability, and adaptability
Provide mentorship and growth opportunities for team members to maximize their potential

Requirements


Bachelor's degree in Computer Science, Engineering, Business, or related field (MBA is a plus)
10+ years of experience in product management, ideally in startup environments or fast-paced tech companies
Proven track record of successfully launching and growing products in early-stage or high-growth startups
Deep understanding of cybersecurity technologies, threats, and market trends
Entrepreneurial mindset with a bias for action and an ability to thrive in a dynamic, evolving environment
Outstanding communication and leadership skills, with a collaborative and team-oriented approach


Benefits

We pride ourselves in recognizing our employees. Here are some examples of our benefits program:


Pre-IPO Stock Options
Medical, Dental & Vision care
401(k)
Employee Assistance Program
Employee Discount Program
Life Insurance
Paid time off
Referral Program
Rewards and Recognition Program
Show more",Executive,Full-time,Production,"Technology, Information and Internet",1 month ago
9,Head of Product Management,https://www.linkedin.com/jobs/view/head-of-product-management-at-spectrum-staffing-services-hrstaffers-inc-3812794994?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=Y%2FNUphxcPsGb4G5uTjx6pQ%3D%3D&trk=public_jobs_topcard-title,Spectrum Staffing Services/HRStaffers Inc.,https://www.linkedin.com/company/spectrum-staffing-services?trk=public_jobs_topcard-org-name,United States,Actively Hiring,"RESPONSIBILITIES

Contribute to and execute companies’ Health & Food strategy, short and long term
Lead the NPD pipeline development and focus based on health claim trends, aligning with the companies strategy. Building the business case, defining the unique value proposition, guiding the scientific alignment and partnering with R&D, application and other related business functions for timely execution.
Provide focus backed by market based prioritization to the product management team to ensure directional growth aligned with key financial targets, revenue and EBIT.
Lead and provide project management and mentoring guidance for cross functional projects across commercial, R&D, technical, quality, supply chain and operation functions.
Facilitate the flow of communication between sales and the senior management to drive new strategy development
Maintain excellent awareness of the marketplace, market products and trends
Work closely with marketing, applications and sales in order to interpret scientific findings and translate these into the unique value propositions
Maintain relationships with industry associations and key accounts, participating in sessions and joint customer calls with sales as the product expert, with a focus on building demand for innovation with our customers and achieving our business objectives [revenue and pipeline targets]
Actively manage and monitor account plans with sales for key customer portfolio
Provide guidance to R&D on clinical research direction for health portfolio and process development focus and product form development for the food and health portfolios
Provide training to internal teams and team members as needed

QUALIFICATIONS

Bachelor of Science, Nutritional Science (or similar); MBA preferred
Minimum of 3 – 5 years B2B product (or project) management experience with exposure to the supplement industry
Able to travel globally, 15 - 20% of the time
Food, Health and / or supplement industry network
Ideally international business experience
Fluent in English and one other language
Based in the United States, preferably near NJ
Show more",Director,Full-time,Customer Service,Chemical Manufacturing,3 weeks ago
10,Remote Product Owner,https://www.linkedin.com/jobs/view/head-of-product-management-at-spectrum-staffing-services-hrstaffers-inc-3812794994?refId=EAHlyvzaVvayotl4MELy5g%3D%3D&trackingId=Y%2FNUphxcPsGb4G5uTjx6pQ%3D%3D&trk=public_jobs_topcard-title,"Conch Technologies, Inc",https://www.linkedin.com/company/spectrum-staffing-services?trk=public_jobs_topcard-org-name,United States,,"RESPONSIBILITIESContribute to and execute companies’ Health & Food strategy, short and long termLead the NPD pipeline development and focus based on health claim trends, aligning with the companies strategy. Building the business case, defining the unique value proposition, guiding the scientific alignment and partnering with R&D, application and other related business functions for timely execution.Provide focus backed by market based prioritization to the product management team to ensure directional growth aligned with key financial targets, revenue and EBIT.Lead and provide project management and mentoring guidance for cross functional projects across commercial, R&D, technical, quality, supply chain and operation functions.Facilitate the flow of communication between sales and the senior management to drive new strategy developmentMaintain excellent awareness of the marketplace, market products and trendsWork closely with marketing, applications and sales in order to interpret scientific findings and translate these into the unique value propositionsMaintain relationships with industry associations and key accounts, participating in sessions and joint customer calls with sales as the product expert, with a focus on building demand for innovation with our customers and achieving our business objectives [revenue and pipeline targets]Actively manage and monitor account plans with sales for key customer portfolioProvide guidance to R&D on clinical research direction for health portfolio and process development focus and product form development for the food and health portfoliosProvide training to internal teams and team members as needed QUALIFICATIONSBachelor of Science, Nutritional Science (or similar); MBA preferredMinimum of 3 – 5 years B2B product (or project) management experience with exposure to the supplement industryAble to travel globally, 15 - 20% of the timeFood, Health and / or supplement industry networkIdeally international business experienceFluent in English and one other languageBased in the United States, preferably near NJ
        

        

    
    
    

    

        
            Show more
          

          
    
  

        

    
    
    

    

        
            Show less",Director,Full-time,Customer Service,Chemical Manufacturing,3 months ago
